State/UTs,Total Doses,Dose1,Dose 2,Dose 1 15-18,Dose 2 15-18,Dose 1 12-14,Dose 2 12-14,Precaution 18-59,Precaution
Andaman and Nicobar,9912640,"3,13,2840","3,20,3830","19,2080","18,8600","15,1240","14,0420","2,36,9360","53,4270"
Andhra Pradesh,1109574230,"4,06,45,6920","4,35,55,7410","25,35,3430","25,27,6130","15,23,3750","14,95,4450","1,20,54,8680","66,19,3460"
Arunachal Pradesh,19245840,"8,61,3960","7,48,5050","59,1000","44,8690","40,8520","28,4450","81,1910","60,2260"
Assam,"5,67,1330","2,25,50,9410","2,05,75,5690","12,62,5200","9,72,4020","9,99,5520","6,02,2830","21,08,1790","12,64,3320"
Bihar,"15,72,91,38556","6,29,56,6010","5,91,60,9160","62,40,6500","53,48,4800","42,88,4011","34,02,97922","1,20,21,61528","38,71,7435"
Chandigarh,"22,91,65213","10,89,9165","9,21,1623","57,7031","43,9030","38,2090","26,0480","50,9773","63,7341"
Chhattisgarh,"4,91,67,9390","1,89,56,7340","1,85,37,8510","12,34,9900","10,53,3380","10,76,0710","7,52,5710","57,50,4240","18,05,9600"
Dadra and Nagar Haveli and Daman and Diu,"15,80,0600","7,30,8550","5,95,0900","31,5090","26,9430","19,9890","14,9290","1,38,1370","22,6080"
Delhi,"3,74,09,15311","1,66,05,0375","1,43,56,0461","10,08,9740","8,70,7911","6,83,7682","4,90,6331","23,37,2571","10,56,6470"
Goa,"28,74,4770","13,55,0460","12,24,5440","51,7340","44,5510","33,2650","26,6400","61,9650","76,7320"
Gujarat,"12,81,05,2693","4,93,24,8561","4,94,48,0051","31,31,9050","29,06,6930","19,41,6210","16,77,8670","1,37,02,7101","59,71,6120"
Haryana,"4,55,46,69960","2,19,63,32618","1,87,49,55917","11,58,5280","7,71,8893","5,59,9460","3,27,8071","13,06,70418","7,08,9403"
Himachal Pradesh,"1,53,25,4840","60,42,6600","57,83,6930","3,31,8260","3,09,6130","2,72,0640","2,35,0020","15,20,0010","8,30,6250"
Jammu and Kashmir,"2,47,82,2650","99,42,7070","1,03,88,5960","8,76,0490","8,61,7310","5,53,8450","5,17,8180","9,65,2000","6,76,3190"
Jharkhand,"4,38,75,9440","2,13,10,3780","1,61,12,7040","15,96,1120","11,25,4580","10,62,6300","6,22,6730","13,71,6730","6,74,3160"
Karnataka,"12,21,51,39229","5,00,32,8743","5,05,20,7663","28,16,4430","27,19,8650","23,25,3662","21,51,0973","67,17,50516","48,67,4762"
Kerala,"5,75,11,08336","2,70,17,64714","2,38,03,0105","13,22,8490","9,57,2670","8,10,9550","5,11,9790","8,68,88315","22,18,4932"
Ladakh,"5,67,1330","2,19,6040","1,87,0950","10,0720","9,2610","8,6270","7,7580","70,2990","54,4170"
Lakshadweep,"1,45,3130","56,9140","56,0190","2,9110","2,7820","1,9880","1,7240","15,9900","6,9850"
Madhya Pradesh,"13,39,40,1840","5,41,43,8580","5,40,61,6540","41,94,6280","34,72,8230","24,10,9610","16,98,6690","1,01,27,7660","38,29,8250"
Maharashtra,"17,79,75,78997","8,46,64,59329","7,16,49,81313","41,19,1313","31,08,8420","28,91,2592","18,70,7343","51,87,63846","44,83,7791"
Manipur,"32,69,1050","14,64,3990","12,26,3360","1,09,6520","68,5550","75,4180","44,3290","1,15,0590","1,65,3570"
Meghalaya,"26,25,8792","13,32,4421","10,25,4500","77,1501","42,8560","37,3930","19,5460","33,3250","57,7170"
Mizoram,"17,93,2980","7,85,8600","6,69,5720","60,0980","47,0100","48,3600","33,5950","80,8880","67,9150"
Nagaland,"17,39,8370","8,37,9690","6,84,7470","59,9740","40,3470","26,0120","19,8890","26,8770","44,0220"
Odisha,"8,15,45,9600","3,14,54,2790","2,99,61,0650","21,95,5630","18,44,4320","16,01,0020","12,06,6920","1,00,69,8250","32,13,1020"
Puducherry,"22,74,0590","9,13,0460","8,02,2340","50,6940","44,6140","30,8730","21,2510","3,04,2000","1,07,1470"
Punjab,"4,70,50,6693","2,23,61,4371","1,96,20,8852","11,17,5050","8,78,0490","6,84,1440","4,97,3910","8,40,2710","10,50,9870"
Rajasthan,"11,57,20,67942","5,11,15,3701","4,65,86,7600","35,76,0430","29,55,0420","23,43,9697","14,96,7623","46,31,24227","30,15,4914"
Sikkim,"13,60,4770","5,39,9290","5,09,1340","30,0490","26,5150","21,8990","19,0070","1,58,3010","55,6430"
Tamil Nadu,"12,75,33,25031","5,66,71,14314","5,35,32,1496","26,27,7490","22,24,0390","19,17,1500","14,65,2890","60,65,9489","30,29,7832"
Telangana,"7,76,23,00115","2,96,16,7847","2,90,76,7762","17,24,0930","15,82,4180","11,07,8180","9,05,7050","1,08,57,2126","27,52,1950"
Tripura,"59,18,9970","26,59,0180","23,28,9680","1,44,8330","1,15,2780","1,12,9650","79,6120","2,73,0610","2,05,2620"
Uttar Pradesh,"39,20,10,52831","15,40,96,7519","14,78,66,5824","1,41,93,6600","1,32,27,4130","87,09,8511","78,76,0770","3,66,42,96417","93,97,2300"
Uttarakhand,"2,01,43,6271","81,83,3520","79,49,2380","5,32,9820","4,67,8350","4,02,3140","3,15,9850","14,17,1731","8,74,7480"
West Bengal,"15,61,00,1917","6,73,05,3920","6,16,06,8310","35,99,9870","30,41,5380","26,22,5032","20,59,4140","1,03,58,3975","55,06,1290"
Miscellaneous,"52,95,7130","22,43,1000","15,79,1140",,,,,,"14,73,4990"
